Name,PRCRMP_Lat,PRCRMP_Lon,Virtual_Lat,Virtual_Lon
Boya Vieja 20m,17.888,-66.998,17.898,-66.991
Cabezas de San Juan 5m,18.385,-65.630,18.398,-65.649
Canal Luis Pena 5m,18.305,-65.328,18.297,-65.320
Canjilones 15m,18.090,-65.590,18.106,-65.600
Canjilones 15m,18.090,-65.590,18.106,-65.600
Carlos Rosario 10m,18.328,-65.332,18.326,-65.340
Cayo Aurora 5m,17.937,-66.874,17.927,-66.876
Cayo Aurora 5m,17.937,-66.874,17.927,-66.876
Cayo Caribes 10m,17.915,-66.214,17.899,-66.215
Cayo Coral 10m,17.936,-66.888,17.912,-66.883
Cayo Diablo 5m,18.360,-65.531,18.354,-65.532
Cayo Diablo 5m,18.360,-65.531,18.354,-65.532
Cayo Ratones 5m,17.935,-66.303,17.906,-66.309
Cayo Ratones 5m,17.935,-66.303,17.906,-66.309
Cayo Rodriguez 5m,18.189,-67.192,18.195,-67.223
Cayo Rodriguez 5m,18.189,-67.192,18.195,-67.223
Cibuco 10m,18.490,-66.374,18.499,-66.380
Cibuco 10m,18.490,-66.374,18.499,-66.380
Dakiti 20m,18.276,-65.277,18.271,-65.274
Dakiti 20m,18.276,-65.277,18.271,-65.274
Derrumbadero 20,17.904,-66.609,17.924,-66.610
Derrumbadero 20,17.904,-66.609,17.924,-66.610
Dominos 5m,18.462,-66.052,18.470,-66.049
Dominos 5m,18.462,-66.052,18.470,-66.049
Efras Wall 20m,17.898,-66.960,17.898,-66.992
El Negro 10m,18.147,-67.248,18.173,-67.252
El Negro 5m,18.147,-67.248,18.173,-67.252
El Negro 5m,18.147,-67.248,18.173,-67.252
El Seco 30,18.139,-65.197,18.141,-65.202
Esperanza 10m,18.081,-65.488,18.077,-65.486
Esperanza 10m,18.081,-65.488,18.077,-65.486
Gallardo 5m,18.002,-67.330,18.007,-67.334
Gallardo 5m,18.002,-67.330,18.007,-67.334
Guanajibo 20m,18.172,-67.253,18.174,-67.253
Guanajibo 20m,18.172,-67.253,18.174,-67.253
Manchas Exteriores 10m,18.234,-67.201,18.219,-67.237
Manchas Exteriores 20m,18.234,-67.201,18.219,-67.237
Maria Langa 10m,17.961,-66.753,17.950,-66.749
Maria Langa 10m,17.961,-66.753,17.950,-66.749
Maria Langa 20m,17.960,-66.747,17.950,-66.749
Maria Langa 5m,17.965,-66.757,17.950,-66.749
Maria Langa 5m,17.965,-66.757,17.950,-66.749
Media Luna 10m,17.935,-67.049,17.928,-67.052
Media Luna 5m,17.939,-67.051,17.928,-67.052
Media Luna 5m,17.939,-67.051,17.928,-67.052
Palominitos 10m,18.335,-65.566,18.328,-65.558
Palominos 20m,18.355,-65.567,18.361,-65.558
Puerto Botes 15m,18.382,-67.488,18.375,-67.490
Puerto Botes 20m,18.382,-67.489,18.375,-67.490
Puerto Canoas 30m,18.378,-67.484,18.371,-67.485
Puerto Canoas 30m,18.378,-67.484,18.371,-67.485
Resuellos 10m,17.991,-67.233,17.989,-67.239
Resuellos 10m,17.991,-67.233,17.989,-67.239
Tourmaline 10m,18.163,-67.274,18.170,-67.277
Tourmaline 20m,18.165,-67.275,18.170,-67.277
Tourmaline 30m,18.166,-67.276,18.170,-67.277
Tres Palmas 10m,18.347,-67.271,18.345,-67.277
Tres Palmas 20m,18.347,-67.270,18.345,-67.277
Tres Palmas 5m,18.351,-67.267,18.345,-67.277
West Reef 10m,17.895,-66.528,17.903,-66.537
