"Name","PRCRMP_Lat","PRCRMP_Lon","Virtual_Lat","Virtual_Lon","Distance"
"Boya Vieja 20m",17.888,-66.998,17.898,-66.991,894.300367422053
"Cabezas de San Juan 5m",18.385,-65.63,18.398,-65.649,2201.48020190817
"Canal Luis Pena 5m",18.305,-65.328,18.297,-65.32,966.761454280717
"Canjilones 15m",18.09,-65.59,18.106,-65.6,1337.11246739811
"Canjilones 15m",18.09,-65.59,18.106,-65.6,1337.11246739811
"Carlos Rosario 10m",18.328,-65.332,18.326,-65.34,896.833289382328
"Cayo Aurora 5m",17.937,-66.874,17.927,-66.876,491.908724283089
"Cayo Aurora 5m",17.937,-66.874,17.927,-66.876,491.908724283089
"Cayo Caribes 10m",17.915,-66.214,17.899,-66.215,728.948333379501
"Cayo Coral 10m",17.936,-66.888,17.912,-66.883,1190.46167547899
"Cayo Diablo 5m",18.36,-65.531,18.354,-65.532,298.985701021218
"Cayo Diablo 5m",18.36,-65.531,18.354,-65.532,298.985701021218
"Cayo Ratones 5m",17.935,-66.303,17.906,-66.309,1462.90931724867
"Cayo Ratones 5m",17.935,-66.303,17.906,-66.309,1462.90931724867
"Cayo Rodriguez 5m",18.189,-67.192,18.195,-67.223,3466.99114945406
"Cayo Rodriguez 5m",18.189,-67.192,18.195,-67.223,3466.99114945406
"Cibuco 10m",18.49,-66.374,18.499,-66.38,780.866417816742
"Cibuco 10m",18.49,-66.374,18.499,-66.38,780.866417816742
"Dakiti 20m",18.276,-65.277,18.271,-65.274,407.897695316176
"Dakiti 20m",18.276,-65.277,18.271,-65.274,407.897695316176
"Derrumbadero 20",17.904,-66.609,17.924,-66.61,893.357521090381
"Derrumbadero 20",17.904,-66.609,17.924,-66.61,893.357521090381
"Dominos 5m",18.462,-66.052,18.47,-66.049,493.28185363982
"Dominos 5m",18.462,-66.052,18.47,-66.049,493.28185363982
"Efras Wall 20m",17.898,-66.96,17.898,-66.992,3568.68718388783
"El Negro 10m",18.147,-67.248,18.173,-67.252,1207.8587246332
"El Negro 5m",18.147,-67.248,18.173,-67.252,1207.8587246332
"El Negro 5m",18.147,-67.248,18.173,-67.252,1207.8587246332
"El Seco 30",18.139,-65.197,18.141,-65.202,565.288839528423
"Esperanza 10m",18.081,-65.488,18.077,-65.486,289.913916411942
"Esperanza 10m",18.081,-65.488,18.077,-65.486,289.913916411942
"Gallardo 5m",18.002,-67.33,18.007,-67.334,495.265336351631
"Gallardo 5m",18.002,-67.33,18.007,-67.334,495.265336351631
"Guanajibo 20m",18.172,-67.253,18.174,-67.253,86.3323021263344
"Guanajibo 20m",18.172,-67.253,18.174,-67.253,86.3323021263344
"Manchas Exteriores 10m",18.234,-67.201,18.219,-67.237,4066.91837862737
"Manchas Exteriores 20m",18.234,-67.201,18.219,-67.237,4066.91837862737
"Maria Langa 10m",17.961,-66.753,17.95,-66.749,658.738304540864
"Maria Langa 10m",17.961,-66.753,17.95,-66.749,658.738304540864
"Maria Langa 20m",17.96,-66.747,17.95,-66.749,493.933377645039
"Maria Langa 5m",17.965,-66.757,17.95,-66.749,1110.2945707187
"Maria Langa 5m",17.965,-66.757,17.95,-66.749,1110.2945707187
"Media Luna 10m",17.935,-67.049,17.928,-67.052,452.527363375413
"Media Luna 5m",17.939,-67.051,17.928,-67.052,491.619827632568
"Media Luna 5m",17.939,-67.051,17.928,-67.052,491.619827632568
"Palominitos 10m",18.335,-65.566,18.328,-65.558,948.780696044026
"Palominos 20m",18.355,-65.567,18.361,-65.558,1041.06090793478
"Puerto Botes 15m",18.382,-67.488,18.375,-67.49,373.191920799463
"Puerto Botes 20m",18.382,-67.489,18.375,-67.49,319.300033950595
"Puerto Canoas 30m",18.378,-67.484,18.371,-67.485,319.358983331597
"Puerto Canoas 30m",18.378,-67.484,18.371,-67.485,319.358983331597
"Resuellos 10m",17.991,-67.233,17.989,-67.239,674.704851295934
"Resuellos 10m",17.991,-67.233,17.989,-67.239,674.704851295934
"Tourmaline 10m",18.163,-67.274,18.17,-67.277,450.63681399473
"Tourmaline 20m",18.165,-67.275,18.17,-67.277,310.235016308941
"Tourmaline 30m",18.166,-67.276,18.17,-67.277,205.408864459244
"Tres Palmas 10m",18.347,-67.271,18.345,-67.277,674.690565659378
"Tres Palmas 20m",18.347,-67.27,18.345,-67.277,785.430626970243
"Tres Palmas 5m",18.351,-67.267,18.345,-67.277,1144.88878012761
"West Reef 10m",17.895,-66.528,17.903,-66.537,1064.78707703408
